Species No. 	 Folder 	 File 	 Date 	 Time 	B1 	 B2 	 B3 	 S1R 	 S1G 	 S1B 	 S1U 	 S1y 	 S1v 	 S2 	 S3 	 S5a 	 S5b 	 S5c 	 S6 	 S7 	 S8 	 S9 	 H1 	 H3 	 H4a 	 H4b 	 H4c
"LTW31 - LTW33"	"DMNS_1679"	"DMNS_1679_FL_Transmission_15-08-33-422"	"Wed Jan 15 15:08:33 MST 2020"	"Wed Jan 15 15:08:33 MST 2020"	"87.6266205556333"	"0.219066551389083"	"0.38018"	"0.361239082362759"	"0.290566292078652"	"0.231865459809296"	"0.116329165749293"	"0.248603004121364"	"0.141740526504133"	"8.616953762466"	"0.378581224781324"	"12.1164890430282"	"19.7166637535883"	"22.0144714320891"	"0.33606"	"-0.414106622609376"	"1.5340543678123"	"-0.495633636890626"	"697"	"488"	"0.834056322329135"	"0.812191176225296"	"0.814052257952384"
"LTW34 - LTW36"	"DMNS_1679"	"DMNS_1679_FM_Transmission_15-08-04-424"	"Wed Jan 15 15:08:04 MST 2020"	"Wed Jan 15 15:08:04 MST 2020"	"99.8686666666"	"0.2496716666665"	"0.43564"	"0.367937446735291"	"0.287822768346954"	"0.223765411907788"	"0.120474373009967"	"0.249669543778662"	"0.145005907758953"	"5.9077841063195"	"0.385352652038267"	"15.0405102721579"	"23.2552605199541"	"25.5580212306892"	"0.3619"	"-0.316623398729876"	"1.44950368150267"	"-0.520699915906592"	"697"	"509"	"0.807970652886413"	"0.760502313110211"	"0.753192000277176"
"LTW37 - LTW39"	"DMNS_1679"	"DMNS_1679_FS_Transmission_15-07-18-429"	"Wed Jan 15 15:07:18 MST 2020"	"Wed Jan 15 15:07:18 MST 2020"	"110.870722777667"	"0.277176806944167"	"0.458073333333333"	"0.357651487203565"	"0.288336344239469"	"0.227426180404401"	"0.126585988152565"	"0.248087355754185"	"0.151851570112833"	"5.73978782056637"	"0.37489950319995"	"15.5051528772778"	"24.3182292661328"	"26.8536490288603"	"0.378266666666667"	"-0.366971956993463"	"1.36471254877708"	"-0.487360583404829"	"697"	"495"	"0.843061116497352"	"0.782847602815949"	"0.776724468497278"
"LTW40 - LTW42"	"DMNS_1679"	"DMNS_1679_V_Transmission_15-09-15-417"	"Wed Jan 15 15:09:15 MST 2020"	"Wed Jan 15 15:09:15 MST 2020"	"214.478514444533"	"0.536196286111333"	"0.663666666666667"	"0.285823454898806"	"0.276874288619979"	"0.286720568845464"	"0.150581687635751"	"0.222164915840351"	"0.184836385294834"	"7.70570477591145"	"0.300771183695649"	"7.70342969299238"	"24.0309633459477"	"31.3258322334855"	"0.57754"	"-0.848382668612666"	"1.07710555809423"	"-0.102573334745314"	"697"	"362"	"1.16757207234165"	"1.26849345131735"	"1.27586214514887"
"LTW43 - LTW45"	"DMNS_1704"	"DMNS_1704_DH_Transmission_11-35-19-430"	"Wed Jan 15 11:35:19 MST 2020"	"Wed Jan 15 11:35:19 MST 2020"	"126.9404366666"	"0.3173510916665"	"0.488613333333333"	"0.33427008063143"	"0.283245309985559"	"0.253605831564549"	"0.128878777818462"	"0.237346302915264"	"0.158539250337729"	"8.88387878787879"	"0.350600521803441"	"12.5606094950994"	"22.4396053671222"	"26.1434231413715"	"0.433613333333333"	"-0.612302525822209"	"1.36635210881522"	"-0.375614453675223"	"697"	"432"	"0.836489767049111"	"0.896810875745543"	"0.926779638979273"
"LTW46 - LTW48"	"DMNS_1704"	"DMNS_1704_DL_Transmission_11-37-06-420"	"Wed Jan 15 11:37:06 MST 2020"	"Wed Jan 15 11:37:06 MST 2020"	"141.026311111133"	"0.352565777777833"	"0.464526666666667"	"0.288209056024804"	"0.258437385364298"	"0.268928965816265"	"0.184424592794633"	"0.211110984175418"	"0.219210418418341"	"4.21403084366495"	"0.302563020548994"	"6.71028486218373"	"11.6595598431573"	"14.7061189718634"	"0.354293333333333"	"-0.80581065723909"	"1.00489995247522"	"-0.223809667037628"	"697"	"360"	"0.713079718870589"	"0.858008392862789"	"0.962798467595774"
"LTW49 - LTW51"	"DMNS_1704"	"DMNS_1704_DM_Transmission_11-36-18-425"	"Wed Jan 15 11:36:18 MST 2020"	"Wed Jan 15 11:36:18 MST 2020"	"109.068484444433"	"0.272671211111083"	"0.439388888866667"	"0.341880497998459"	"0.275525145077785"	"0.241682432839673"	"0.140911924084083"	"0.234323213602434"	"0.169694940699661"	"5.92967461358525"	"0.358102904886626"	"12.4115678942348"	"19.5119813604617"	"22.0212562565789"	"0.365288888866667"	"-0.400505621157272"	"1.33966797366757"	"-0.441042510121457"	"696"	"476"	"0.753149184925466"	"0.765579129337276"	"0.792298769921775"
"LTW52 - LTW54"	"DMNS_1704"	"DMNS_1704_FL_Transmission_11-39-30-407"	"Wed Jan 15 11:39:30 MST 2020"	"Wed Jan 15 11:39:30 MST 2020"	"173.046990555533"	"0.432617476388833"	"0.582886666666667"	"0.301441994642644"	"0.271528215571526"	"0.270590509450706"	"0.156439280335124"	"0.222311818238686"	"0.189529049660887"	"6.37592065922847"	"0.316548257542341"	"10.0448152449209"	"20.4741213737542"	"25.3437568548023"	"0.491466666666667"	"-0.782200064778138"	"1.13603054312337"	"-0.240668888359914"	"697"	"377"	"0.861676676057684"	"0.999847530266765"	"1.04928916334488"
"LTW55 - LTW57"	"DMNS_1704"	"DMNS_1704_FM_Transmission_11-38-49-411"	"Wed Jan 15 11:38:49 MST 2020"	"Wed Jan 15 11:38:49 MST 2020"	"101.72741"	"0.254318525"	"0.434726666666667"	"0.354422459874548"	"0.273981018925643"	"0.232439713151057"	"0.139156808048752"	"0.236082727796438"	"0.166542167281496"	"5.88369575024813"	"0.370936265412963"	"13.3288008267065"	"19.9020080683987"	"22.0668565603815"	"0.36084"	"-0.25184742899349"	"1.41885063229271"	"-0.492971580388053"	"697"	"511"	"0.718472098287808"	"0.70210830208653"	"0.719549062339777"
"LTW58 - LTW60"	"DMNS_1704"	"DMNS_1704_FS_Transmission_11-37-51-416"	"Wed Jan 15 11:37:51 MST 2020"	"Wed Jan 15 11:37:51 MST 2020"	"95.4238188888333"	"0.238559547222083"	"0.41656"	"0.365926830031248"	"0.280883749069593"	"0.224858673475751"	"0.128330747423409"	"0.243854745933073"	"0.153586583559468"	"6.13430198311408"	"0.382959125380484"	"14.0039779258519"	"21.0862791799306"	"23.2191843580552"	"0.348653333333333"	"-0.288575038631042"	"1.46149394309824"	"-0.526342915094183"	"697"	"511"	"0.762957066163326"	"0.718669509536982"	"0.719734362358796"
"LTW61 - LTW63"	"DMNS_1704"	"DMNS_1704_V_Transmission_11-40-18-402"	"Wed Jan 15 11:40:18 MST 2020"	"Wed Jan 15 11:40:18 MST 2020"	"232.655465000033"	"0.581638662500083"	"0.701513333333333"	"0.278987615156131"	"0.27080636883653"	"0.286070585103129"	"0.164135430904211"	"0.216855822502283"	"0.199051689300858"	"6.54641035212144"	"0.293578403585133"	"6.93771005092099"	"21.5513460398547"	"29.1487821008077"	"0.594353333333333"	"-0.881299600391237"	"1.02186008539838"	"-0.0801535153816784"	"697"	"348"	"1.16050552546766"	"1.26560930016769"	"1.28299612525611"
"LTW64 - LTW66"	"DMNS_1705"	"DMNS_1705_DH_Transmission_09-40-30-872"	"Wed Jan 15 09:40:30 MST 2020"	"Wed Jan 15 09:40:30 MST 2020"	"93.2561255555667"	"0.233140313888917"	"0.390566666666667"	"0.359691224573194"	"0.288646353203836"	"0.240766078720353"	"0.110896343502617"	"0.24611704684776"	"0.1377757395573"	"10.4522747546833"	"0.376706728815374"	"12.0819458629301"	"20.3572128204904"	"23.0816589967834"	"0.3532"	"-0.513954144424268"	"1.51496750651321"	"-0.487664417637838"	"699"	"466"	"0.800760386306648"	"0.839374192151038"	"0.856291147050807"
"LTW67 - LTW69"	"DMNS_1705"	"DMNS_1705_DL_Transmission_09-42-30-860"	"Wed Jan 15 09:42:30 MST 2020"	"Wed Jan 15 09:42:30 MST 2020"	"187.568394444533"	"0.468920986111333"	"0.6059611111"	"0.289028603521997"	"0.261359143928323"	"0.272133027268058"	"0.177479225281621"	"0.212643861968057"	"0.212209729955885"	"4.46062554178731"	"0.303404870596836"	"8.55224561538514"	"16.4739204985662"	"20.9626019277921"	"0.470114444433333"	"-0.81221308576901"	"1.00254511603735"	"-0.216451334089149"	"696"	"361"	"0.746773672238585"	"0.94245576696279"	"1.02971506081942"
"LTW70 - LTW72"	"DMNS_1705"	"DMNS_1705_DM_Transmission_09-41-05-868"	"Wed Jan 15 09:41:05 MST 2020"	"Wed Jan 15 09:41:05 MST 2020"	"138.111034444467"	"0.345277586111167"	"0.556506666666667"	"0.345453096027729"	"0.276420430997862"	"0.237490992653851"	"0.140635480320558"	"0.235604724511112"	"0.168453375891227"	"4.47928740072977"	"0.361728937725499"	"16.4957035664074"	"25.8966438506171"	"28.7314410631181"	"0.432266666666667"	"-0.304024593545542"	"1.2519395525648"	"-0.467478640247228"	"697"	"498"	"0.764968250562798"	"0.761014209317689"	"0.769323979430429"
